" Year ","","","   Dispute over","",""," Termination","","","","","","","","","","","","","","","","","","  Overtime payment","","","","  Dispute over",""," Year ","  Dispute over","","","  Retirement pension","","","","     Dispute over","","   Year-end bonus","","","","  Dispute over","","","","  Insurance benefit","","","","   Dispute over","","","  occupational","","","  Dispute over",""," Year ","  Dispute over","",""," employment","","",""," Dispute over","","","  Dispute over","","  dispute","","  Involvement rate","","","","","","","",
" ","  Cases of dispute","","  labor contracts","",""," of contracts","",""," Payment of dismisal","","",""," Dispute over wages","","",""," Content of wages","","","  Arrear wages","","","","     and man-hour","","","","    work hour",""," ","    retirement","","","           payment","","","","   welfare benefits","","         payment","","","","  labor insurance","","","","","  payment","","","   management","","",""," hazards","","  safety and health",""," ","  union","","  discrimination","","","",""," mass dismiss","","","  other issues","","  (Worker)","","  （"," o /oo ）","  Conciliation","","  Mediation","","  Arbitration","",
" ","","","","","  契  約  性  質","","","","  恢復僱傭關係","","","","","","","","","","","  積  欠  工  資","","","","","","","  加　班　費","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Year ","","","   Dispute over","",""," Complexion","","","  Labor Contracts","","","",,,,,,,,,,,,,,,,,," Year and month ","  Dispute over payment","","","","","  Dispute over retirement","","",""," Dispute over labor","","",""," Dispute over occupational","","","","","  Dispute over protection","","","","  Dispute over leave","","","",""," Dispute over other",""," Year ","  Dispute over wages","","  Dispute over work","","","","  Dispute over work","","","","  Dispute over other","","  Workers involved dispute","","  Involvement rate","","","","","","","",
" ","  Cases of dispute","","  labor contracts","",""," of contracts","","","  reinstatement","","","","  Dispute over wages","","","","","","",""," Arrear wages","","","","","","  Overtime payment","",""," ","","  of dismissal","","","","  pension payment","","","  insurance benefit payment","","","","","  hazards compensation","","","","","  of union identification","","","","","","","","","  rights issues",""," ","  adjustment","","  years settlement","","","","  hours adjustment","","","","  adjustment issues","","  (Worker)","","  （"," o /oo ）","  Conciliation","","  Mediation","","  Arbitration","",
"  97年  2008 ","24540","  (11,074)","1737","   (1,021)","1109","","     (623)","","628","","     (398)","","","","9186","","  (3,427)  ˉ","","","","","8769","   (3,204)","","","","","417","     (223)","  97年  2008 ","","8343","  (3,741)","","","","762","     (415)","","327","","     (171)","","","1381","","    (819)","","","8","","      (8)  ˉ","",""," ...","","  ...","2486","    (1,240)","  97年  2008 ","69","      (39)","13","","      (12)","","109","","     (104)  ˉ","","119","      (77)","65274","  (48,182)","8.26","    (6.10)","19546","   (6,405)","4320","   (4,320)","0","0",
"  98年  2009 ","30385","  (15,104)","2230","   (1,364)","1468","","     (838)","","762","","     (526)","","","","9756","","  (4,345)  ˉ","","","","","9280","   (4,061)","","","","","476","     (284)","  98年  2009 ","","10372","  (5,051)","","","","852","     (496)","","497","","     (313)","","","1412","","    (946)","","","8","","      (8)  ˉ","",""," ...","","  ...","4680","    (2,258)","  98年  2009 ","135","      (21)","103","","       (4)","","271","","     (269)  ˉ","","69","      (29)","68649","  (48,954)","8.7","    (6.20)","25441","   (9,852)","5201","   (5,201)","0","0",
"  99年  2010 ","23865","  (11,565)","1773","   (1,305)","1089","","     (848)","","684","","     (457)","","","","9217","","  (3,547)  ˉ","","","","","8637","   (3,227)","","","","","580","     (320)","  99年  2010 ","","6722","  (3,169)","","","","746","     (412)","","371","","     (225)","","","1598","","  (1,070)","","","11","","     (11)  ˉ","",""," ...","","  ...","3157","    (1,583)","  99年  2010 ","27","      (18)","4","","       (4)","","195","","     (195)  ˉ","","44","      (26)","42934","  (28,367)","5.3","    (3.50)","19108","   (6,867)","4469","   (4,469)","0","0",
" 100年  2011 ","22629","  (11,767)","1557","   (1,182)","893","","     (746)","","664","","     (436)","","","","9290","","  (3,898)  ˉ","","","","","8693","   (3,573)","","","","","597","     (325)"," 100年  2011 ","","5817","  (2,830)","","","","853","     (490)","","402","","     (247)","","","1865","","  (1,358)","","","10","","     (10)  ˉ","",""," ...","","  ...","2653","    (1,593)"," 100年  2011 ","23","      (19)","4","","       (2)","","115","","     (114)  ˉ","","40","      (24)","44022","  (30,941)","5.29","    (3.72)","10438","   (3,108)","11618","   (8,145)","1","       (1)  ˉ",
" 101年  2012 ","23225","  (11,247)","1544","   (1,014)","742","","     (534)","","802","","     (480)","","","","10356","","  (4,152)  ˉ","","","","","9557","   (3,696)","","","","","799","     (456)"," 101年  2012 ","","5757","  (2,782)","","","","904","     (478)","","391","","     (215)","","","1693","","  (1,099)","","","13","","     (13)  ˉ","",""," ...","","  ...","2431","    (1,375)"," 101年  2012 ","36","      (33)","2","","       (1)","","61","","      (61)  ˉ","","37","      (24)","41257","  (26,346)","4.86","    (3.10)","1176","   (1,173)","21836","   (9,971)","3","       (3)  ˉ",
" 102年  2013 ","23943","  (11,900)","2181","   (1,647)","1381","","   (1,121)","","800","","     (526)","","","","9967","","  (4,056)  ˉ","","","","","9189","   (3,662)","","","","","778","     (394)"," 102年  2013 ","","5769","  (2,648)","","","","972","     (523)","","311","","     (190)","","","1919","","  (1,272)","","","3","","      (3)  ˉ","",""," ...","","  ...","2580","    (1,363)"," 102年  2013 ","16","      (15)","1","","0","","121","","     (118)  ˉ","","103","      (65)","35531","  (20,736)","4.12","    (2.41)","1783","   (1,783)","22155","  (10,066)","7","       (7)  ˉ",
" 103年  2014 ","22703","  (11,466)","1940","   (1,387)","1029","","     (773)","","911","","     (614)","","","","9515","","  (4,035)  ˉ","","","","","8691","   (3,564)","","","","","824","     (471)"," 103年  2014 ","","5509","  (2,751)","","","","937","     (526)","","353","","     (229)","","","1935","","  (1,310)","","","4","","      (2)  ˉ","",""," ...","","  ...","2369","    (1,101)"," 103年  2014 ","29","      (27)","4","","       (3)","","58","","      (55)  ˉ","","50","      (40)","33611","  (20,059)","3.85","    (2.30)","1103","   (1,103)","21548","  (10,343)","20","      (20)  ˉ",
