" ",""," 表 3-11 勞資爭議案件─按行業分","","","","","","","","","","","","","",""," Table 3-11 Labor-Management Disputes by Industry","","","","","","","","","","",""," ","  表 3-11 勞資爭議案件─按行業分(續)","","","","","","","","","","","","","   Table 3-11 Labor-Management Disputes by Industry (Cont.)","","","","","","","","","","","","",
" 102年  2013 ","23943","","  (11,900)","","83","      (53)","","20","      (11)","","4522","    (2,208)","32","       (20)","","151","       (66)","","1582","      (838)  ˉ","5616","    (2,414)","","1120","","     (581)","1893","      (815)"," 102年  2013 ","489","     (250)","417","     (249)","471","     (202)","","872","      (406)","2211","","     (997)","","114","       (90)","","651","      (347)  ˉ","797","      (413)","","261","","     (129)","2641","     (1,811)",
" 103年  2014 ","22703","","  (11,466)","","80","      (47)","","13","      (10)","","4333","    (2,195)","32","       (23)","","152","       (76)","","1635","      (906)  ˉ","5652","    (2,605)","","1009","","     (526)","1876","      (879)"," 103年  2014 ","492","     (251)","335","     (209)","494","     (222)","","832","      (389)","1979","","     (973)","","89","       (61)","","620","      (328)  ˉ","748","      (421)","","294","","     (135)","2038","     (1,210)",
" 104年  2015 ","23204","","  (11,247)","","92","      (57)","","18","      (11)","","4533","    (2,303)","41","       (28)","","198","       (94)","","1659","      (922)  ˉ","5509","    (2,551)","","1052","","     (577)","2050","      (952)"," 104年  2015 ","527","     (254)","340","     (192)","592","     (274)","","861","      (391)","2313","","   (1,057)","","110","       (76)","","684","      (391)  ˉ","809","      (450)","","278","","     (118)","1538","       (549)",
" 105年  2016 ","25587","","  (11,809)","","131","      (86)","","24","      (16)","","4789","    (2,233)","45","       (28)","","220","      (104)","","1737","      (896)  ˉ","6044","    (2,714)","","1220","","     (624)","2352","    (1,059)"," 105年  2016 ","592","     (268)","474","     (267)","620","     (292)","","955","      (443)","2591","","   (1,107)","","95","       (74)","","749","      (388)  ˉ","893","      (486)","","320","","     (138)","1736","       (586)",
" 資料來源： 勞動部勞動關係司。 ","","","","","","","","","","","","","  Source：","   The Department of Employment Relations, MOL.","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 說　　明： 1.括弧( )內數字係勞工行政主管機關(構)勞資爭議協商調處案件。 ","","","","","","","","","","","","","  Note：","   1.The figures in the parentheses represent industrial disputes resolved by labor administration agencies in Taiwan area.","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 2.90年以前依據「中華民國行業標準分類（第6次修訂）」編製，91-98年依據第7次修訂編製，99-101年依據ˉ ","","","","","","","","","","","","","","   2.Data series were classified before 2001 refer to Standard Industrial Classification System of R.O.C, Rev.6. Data series from","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    第8次修訂編製，102-104年依據第9次修訂編製，105年起依據第10次修訂編製。 ","","","","","","","","","","","","","","      2002 to 2009 refer to Rev.7. Data series from 2010 to 2012 refer to Rev.8. Data series from 2013 to 2015 refer to Rev.9.","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"","      Data series from 2016 refer to Rev.10.","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","","","","","    -64-","","","","","","","","","","","","","","","      -65-","","","","","","","",""," ","","","     -66-","","","","","","","","","","","","","","","      -67-","","","","","","","","",
