" 表 6-1 勞工保險投保單位數及人數－按行業分 ","","","","","","","","","","  Table 6-1 Insured Units and Persons under Labor Insurance by Industry","","","","","","","","","",""," 表 6-1 勞工保險投保單位數及人數－按行業分(續1) ","","","","","","","","","","  Table 6-1 Insured Units and Persons under Labor Insurance by Industry (Cont.1)","","","","","","","","","",""," 表 6-1 勞工保險投保單位數及人數－按行業分(續2完) ","","","","","","","","","","  Table 6-1 Insured Units and Persons under Labor Insurance by Industry (Cont.2)","","","","","","","","","","",
" ","  單 位 數","","  人  數","  單 位 數","  人  數","","  單 位 數","  人  數","  單 位 數","","  人  數","","  單 位 數","  人  數","  單 位 數","","  人  數","","  單 位 數","  人  數"," ","  單 位 數","","  人  數","  單 位 數","  人  數","","  單 位 數","  人  數","  單 位 數","","  人  數","","  單 位 數","  人  數","  單 位 數","","  人  數","","  單 位 數","  人  數"," ",""," 單 位 數",""," 人  數","","  單 位 數",""," 人  數","  單 位 數","","  人  數","","  單 位 數","  人  數","  單 位 數","","  人  數","","  單 位 數","  人  數",
" End of year ","","","","","","","","",,,,,,,,,,,,," End of year ","","","","","","","","",,,,,,,,,,,,," End of year ","","","","","","","","",,,,,,,,,,,,,
" ","  Units","","  Persons","  Units","  Persons","","  Units","  Persons","  Units","","  Persons","","  Units","  Persons","  Units","","  Persons","","  Units","  Persons"," ","  Units","","  Persons","  Units","  Persons","","  Units","  Persons","  Units","","  Persons","","  Units","  Persons","  Units","","  Persons","","  Units","  Persons"," ","","  Units",""," Persons","","  Units",""," Persons","  Units","","  Persons","","  Units","  Persons","  Units","","  Persons","","  Units","  Persons",
"  99年底  End of 2010 ","489844","","9397608","1465","376611","","433","4642","100519","","2919504","","239","24447","3409","","55285","","42835","718498","  99年底  End of 2010 ","189605","","1560513","9621","441202","","13015","396810","9433","","214145","","6888","361216","10731","","116335","","28845","323396","  99年底  End of 2010 ","","12241","","310489","","2724","","142207","13728","","218433","","23947","369748","2197","","88429","","17969","755698",
" 100年底  End of 2011 ","503646","","9725761","1513","379175","","430","4807","101500","","3009229","","245","24756","3543","","54207","","44014","731551"," 100年底  End of 2011 ","193678","","1638980","9789","448820","","14624","430275","9716","","225663","","6983","366271","11658","","124012","","30153","338060"," 100年底  End of 2011 ","","12750","","322210","","2771","","145899","13861","","232532","","25042","392299","2319","","92567","","19057","764448",
" 101年底  End of 2012 ","508930","","9709511","1717","371016","","402","4528","100697","","2988953","","255","24852","3664","","55352","","44589","703017"," 101年底  End of 2012 ","194105","","1661156","9906","438620","","16157","444950","9958","","233883","","7007","368257","12354","","127397","","30909","344576"," 101年底  End of 2012 ","","13110","","331981","","2741","","133629","14566","","254265","","25000","400698","2385","","90800","","19408","731581",
" 102年底  End of 2013 ","517325","","9745794","2412","365851","","393","3919","100611","","3119315","","273","24811","3759","","52706","","45665","686142"," 102年底  End of 2013 ","195039","","1681402","10034","429500","","17496","459102","10204","","239097","","7021","371081","13443","","138248","","31963","352248"," 102年底  End of 2013 ","","13537","","341878","","2718","","132289","16333","","279421","","24134","398161","2543","","90968","","19747","579655",
" 103年底  End of 2014 ","527270","","9920361","2752","365121","","393","3852","100784","","3169135","","282","24790","3775","","52790","","46786","685346"," 103年底  End of 2014 ","196780","","1722026","10108","428669","","19328","485437","10462","","247195","","7193","374359","14400","","144399","","33062","360589"," 103年底  End of 2014 ","","13902","","350173","","2684","","128974","16624","","294063","","24721","412667","2718","","93279","","20516","577497",
" 104年底  End of 2015 ","537221","","10073327","2771","364003","","387","3781","100947","","3170894","","305","24250","3798","","49375","","48013","684171"," 104年底  End of 2015 ","198265","","1757714","10266","434558","","21316","510595","10906","","266121","","7387","379306","14641","","144239","","34135","370282"," 104年底  End of 2015 ","","14483","","356246","","2701","","129761","16709","","319878","","25610","431474","3111","","97522","","21470","579157",
" 105年底  End of 2016 ","544826","","10165434","2908","359299","","374","3732","100529","","3167226","","338","25012","3864","","48154","","48951","673447"," 105年底  End of 2016 ","199183","","1790771","10330","433210","","23748","534341","11420","","273823","","7478","386075","14431","","141181","","34878","380670"," 105年底  End of 2016 ","","15103","","373508","","2686","","129355","16758","","318753","","26429","452421","3345","","100064","","22073","574392",
" 資料來源： 勞動部勞工保險局。 ","","","","","","","","","  Source：","  Bureau of Labor Insurance, MOL.","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 說       明： 1.「金融、保險及不動產業」欄82年以前原為「金融、保險、不動產業及工商服務業」。 ","","","","","","","","","  Note：","  1.Before 1993, "Finance, insurance and real estat" was "Finance, insurance, real estat and  business services".","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 2.「社會服務及個人服務業」欄82年以前原為「公共行政、社會服務及個人服務業」。 ","","","","","","","","","","  2.Before 1993, "Social and related community services" was "Public admin. social and personal services".","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 3.90年以前依據「中華民國行業標準分類（第6次修訂）」編製，91-98年依據第7次修訂編製，99-101年依據ˉ ","","","","","","","","","","  3.Data series were classified before 2001 refer to Standard Industrial Classification System of R.O.C, Rev.6. Data series from","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    第8次修訂編製，102-104年依據第9次修訂編製，105年起依據第10次修訂編製。 ","","","","","","","","","","     2002 to 2009 refer to Rev.7. Data series from 2010 to 2012 refer to Rev.8. Data series from 2013 to 2015 refer to Rev.9.","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"","     Data series from 2016 refer to Rev.10.","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","","","   -142-","","","","","","","","","","","   -143-","","","","","",""," ","","","   -144-","","","","","","","","","","","   -145-","","","","","",""," ","","","   -146-","","","","","","","","","","","   -147-","","","","","","",
