,,,,,,,,,,,,,,,,,,,,," ","  (%)","  wage","  wage","","","   period(%)","","  (N.T.$)","   period(%)","",,,,,,,,,,,,,
"  92年  2003 ","4.12","-1.45","14120","2.69","151345","11.47","130249","13.15","66.42","","9.1","","68.56","","6.74","","130.53","","-3.91","",,,,,,,,,,,,"33833","4.14","27020","3.98","193.3","","-0.51","","183.8","","-0.43","",
,,,,,,,,,,,,,,,,,,,,,"  85年  1996 ","3.08","15360","64","","36699","3.7","","29761","4.77","","35402","4.64","28101","4","193.8","","0.26","","183.7","","-0.05","",
"  93年  2004 ","6.51","2.39","15388","8.98","183643","21.34","171554","31.71","72.59","","9.29","","71.83","","4.77","","126.56","","-3.04","","  86年  1997 ","0.9","15840","66","","38489","4.88","","30979","4.09","",,,,,,,,,,,,,
"  94年  2005 ","5.42","-1.09","16532","7.43","199761","8.78","185438","8.09","75","","3.32","","74.4","","3.58","","127.3","","0.58","",,,,,,,,,,,,"36431","2.91","28929","2.95","190.2","","-1.86","","180.9","","-1.52","",
,,,,,,,,,,,,,,,,,,,,,"  87年  1998 ","1.69","15840","66","","39673","3.08","","31989","3.26","","37738","3.59","29935","3.48","190.2","","0","","180.4","","-0.28","",
"  95年  2006 ","5.62","0.2","17026","2.99","225904","13.09","206442","11.33","78.6","","4.8","","77.43","","4.07","","124.89","","-1.89","","  88年  1999 ","0.17","15840","66","","40842","2.95","","33068","3.37","",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38914","3.12","30892","3.2","190.1","","-0.05","","180.2","","-0.11","",
"  96年  2007 ","6.52","0.9","17814","4.63","248792","10.13","223115","8.08","84.7","","7.76","","83.03","","7.23","","118.64","","-5","","  89年  2000 ","1.25","15840","66","","41861","2.49","","33953","2.68","","38412","-1.29","31307","1.34","180.4","","-5.1","","171.8","","-4.66","",
,,,,,,,,,,,,,,,,,,,,,"  90年  2001 ","0","15840","66","","41960","0.24","","34489","1.58","",,,,,,,,,,,,,
"  97年  2008 ","0.7","-5.82","18131","1.78","258051","3.72","244467","9.57","83.73","","-1.15","","82.93","","-0.12","","120.42","","1.5","",,,,,,,,,,,,,,,,,,,,,,,,
"  98年  2009 ","-1.57","-2.27","16988","-6.3","205663","-20.3","177598","-27.35","77.11","","-7.91","","83.87","","1.13","","111.31","","-7.57","",,,,,,,,,,,,"38435","0.06","31537","0.73","181.4","","0.55","","172.5","","0.41","",
,,,,,,,,,,,,,,,,,,,,,"  91年  2002 ","-0.2","15840","66","","41530","-1.02","","34746","0.75","","39549","2.9","31942","1.28","181.3","","-0.06","","172.1","","-0.23","",
"  99年  2010 ","10.63","12.2","19278","13.48","278008","35.18","256274","44.3","95.75","","24.17","","96.88","","15.51","","98.84","","-11.2","","  92年  2003 ","-0.28","15840","66","","42065","1.29","","34804","0.17","",,,,,,,,,,,,,
" 100年  2011 ","3.8","-6.83","20939","8.62","312923","12.56","288062","12.4","100","","4.44","","100","","3.22","","100","","1.17","",,,,,,,,,,,,"40657","2.8","32470","1.65","183.5","","1.21","","173.5","","0.81","",
,,,,,,,,,,,,,,,,,,,,,"  93年  2004 ","1.61","15840","66","","42680","1.46","","35096","0.84","","41858","2.95","33022","1.7","181.9","","-0.87","","172.4","","-0.63","",
" 101年  2012 ","2.06","-1.74","21308","1.76","306409","-2.08","277324","-3.73","99.75","","-0.25","","99.34","","-0.66","","102.25","","2.25","","  94年  2005 ","2.3","15840","66","","43159","1.12","","35382","0.81","",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42393","1.28","33620","1.81","180.9","","-0.55","","171.8","","-0.35","",
" 102年  2013 ","2.2","0.14","21916","2.85","311428","1.64","278010","0.25","100.4","","0.65","","99.37","","0.03","","102.53","","0.27","","  95年  2006 ","0.6","15840","66","","43488","0.76","","35724","0.97","",,,,,,,,,,,,,
